#separator:tab
#html:false
abound		exist in large numbers or amounts.	1) a business in which opportunities abound   2) errors and inconsistencies abound	proliferate, plentiful, copious, ample, brim, bristle, bulge, burst, bustle, buzz, crawl, hum,
prodigious	The prodigy possesses huge amount of knowledge	remarkably or impressively great in extent, size, or degree.	1) a prodigious achievement/effort/talent	amazing, astonishing, astounding, awesome, awful, eye-opening, fabulous, marvelous,enormous, colossal, vast, tremendous, substantial,
tentative		1. not certain or fixed; provisional. 2. done without confidence; hesitant.		provisional, unconfirmed, preliminary, sepcuilative, conjjectural, conditional, contingent (on or upon), dependent, subject (to),
falter		lose strength or momentum.speak in a hesitant or unsteady voice	Her smile faltered and then faded.“I c-c-can't,” he faltered	hesitate, delay, stall, waver, oscillate, fluctuate, vacillate stammer, stutter, stumble, speak haltingly, hesitate, pause, halt, splutter, flounder, blunder, fumble.
chastise		rebuke or reprimand severely./scold	The coach chastised the players for their mistakes.	baste, bawl out, berate, rebuke, admonish, censure, lambast, call down, castigate, chew out, dress down, flay,
intermittent		occurring at irregular intervals; not continuous or steady.	1) intermittent rain	sporadic, fitful, spasmodic, fragmentory, scattered, on-and-off, periodic, periodical, recurrent, recurring,
profound		1. (of a state, quality, or emotion) very great or intense.  2. (of a person or statement) having or showing great knowledge or insight.		intense, abstruse, intellectual, astute, fervent, arcane, deep, esoteric, hermetic, recondite,
propagate	Propping open the gate allowed the plants to spread and reproduce	1. spread and promote (an idea, theory, etc.) widely. 2. breed specimens of (a plant or animal) by natural processes from the parent stock.	The group propagates [=promotes] its antigovernment doctrine on the Web. The plant can be easily propagated [=bred, grown] by taking leaf cuttings	disseminate, promulgate, transmit, broadcast,breed, multiply, procreate, reproduce,
allusive	The sounds are not all illusion; they might be suggestive of something unknown	"using or containing suggestion rather than explicit mention. related to ""allude to"", ""allusion"""	His elegy for a fellow poet, Mick Imlah, shows a directness and clarity that is not always felt in his allusive poetry.	alluding, referring, denotative, denoting, indicative, reflective, significant, signifying,
glib	Good librarian should have more than superficial knowledge of books	(of words or a speaker) fluent but insincere and shallow.	She was careful not to let the answer sound too glib.	facile, superficial, empty, superficial, flippant, hollow, meaningless, breezy, casual, inappropriate,
curb		1. a check or restraint on something. 2. a type of bit with a strap or chain attached which passes under a horse's lower jaw, used as a check.	The goverment announced a curb on public spending.	bridle, check, constrain, deter, damper, contain, control, govern, hold, inhibit,
lull		calm or send to sleep, typically with soothing sounds or movements.make (someone) feel deceptively secure or confidenta temporary interval of quiet or lack of activity.	The rhythm of the boat lulled her to sleep.he had been unable to lull his wife's anxiety about her fading beauty.  for two days there had been a lull in the fighting.	soothe, assuage, allay, ease, pacify, palliate, stifle break, breath, breather, interruption, pause, recess,
mettlesome	Looks like metal + some: He's as strong as metal - spirited and fearless	(of a person or animal) full of spirit and courage; lively.  mettle (n) = ability to cope well with difficulties or to face a demanding situation in a spirited and resilient way	Their horses were beasts of burden, not mettlesome chargers.	gritty, fearless, valiant, intrepid, active,  airy, animate, animated, bouncing, brisk, energetic, frisky,
astute	"Looks like ""as tutor."" As tutor, she could tell that her student was shrewd and canny, though not booksmart."	having or showing an ability to accurately assess situations or people and turn this to one's advantage.	1) an astute observer   2) astute remarks	canny, shrewd, acute, clever, brilliant, clear-eyed, clear-sighted, hard-boiled, hardheaded, heady, knowing, savvy,
fawn		1. (of a person) give a servile display of exaggerated flattery or affection, typically in order to gain favour. 2. (of a deer) produce young.	They try to ingratiate themselves by fawning over the boss (=bring themselves favor by flattering/pleasing the boss)	flatter, eulogize, obsequious, serville, sycophantic, grovelling, apple-polish, bootlick, fuss, kowtow, suck (up), toady, truckle,
precipitous	precipitate (cause something suddenly) + ous. High precipitation degrades the soil and creates steep slope - it is very suden.	dangerously high or steep. (of an action) done suddenly and without careful consideration.	The road became narrower, the drop on each side more precipitous. His fall from power was precipitous	steep, sheer, high, dizzy cursory, abrupt, meteoric, drive-by, flying, gadarene, hasty, headlong, helter-skelter, hurried
repercussion		an unintended consequence of an event or action, especially an unwelcome one.		consequence, outcome, reverberation, backlash, effect, impact, influence, mark, sway,
regress	I regreted that he returned to his rebellious behaviors.	return to a former or less developed state.	He regressed to his former state of madness.	retrogress, return, revert, lapse, subside, deteriorate, wane
refute		prove (a statement or theory) to be wrong or false; disprove.	1) The lawyer refuted the testimony of the witness.   2) refute an argument/claim	disprove, confute,  demolish, debunk, contradict, deny, disaffirm, disallow, disavow, disclaim, disconfirm, disown,
replenish		restore (a stock or supply) to a former level or condition.	1) replenish a supply of fuel   2) … London's population was continually being replenished with recruits from the countryside …   3) … most of her income will be used to replenish the family's almost-depleted savings.   4) … the fields are rotated every three years with other crops … so that the soil can replenish itself and remain nitrogen rich.   5) Apparently, animals sleep to regulate body temperature, organize memories and replenish the immune system …	refill, refresh, reload, repack, brim, charge, cram, heap,
evoke		1. bring or recall (a feeling, memory, or image) to the conscious mind. 2. invoke (a spirit or deity).	The poems evoke a sense of desolate emptiness.	summon, invoke, educe, elicit, inspire, raise,
ire	ira/ire (n) is the root of irate (v)	anger.	1) He directed his ire at the coworkers who reported the incident.   2) The proposal has raised/roused/provoked the ire of environmentalists. [=has made environmentalists angry]	anger, rage, fury, temper, spleen, vexation, angriness, birse, choler, furor, fury, indignation, irateness,
languid	I'm so languishing(=feeble) to even wake up and learn languages.	1. (of a person, manner, or gesture) having or showing a disinclination for physical exertion or effort. 2. weak or faint from illness or fatigue.	1) arms too languid with happiness to embrace him	enervated, lethargic, torpid, sluggish, apathetic, lackadaisical, languishing, languorous, limp, listless, spiritless,
mollify	Molly pacified her boyfriend's anxiety before the job interview.	appease the anger or anxiety of (someone).(rare) soften, alleviate	Nature reserves were set up around the power stations to mollify local conservationists.The women hoped to mollify the harsh wilderness environment.	appease, assuage, conciliate, disarm, gentle, pacify, placate, propitiate,
pretentious		attempting to impress by affecting greater importance or merit than is actually possessed.		artificial, inflated, flamboyant, affected, grandiose, highfalutin, high-minded, la-di-da, ostentatious, pompous, snippy,
duress	Sounds like do-rest. His weakness became the threat that made him do the rest of the work for them.	threats, violence, constraints, or other action used to coerce someone into doing something against their will or better judgement.	1) while the German army was still held in duress by the Versailles treaty	arm-twisting, coercion, compulsion, constraint, intimidation, force, pressure,
vigilant		keeping careful watch for possible danger or difficulties.	1) When traveling through the city, tourists should be extra vigilant.   2) They were vigilant about protecting their children.   3) We remain vigilant against theft.   4) a vigilant tourist/parent	alert, attentive, awake, observant, prudent, circumspect, heedful, mindful, open-eyed, tenty, watchful,
headstrong	A person whose head is strong doesnt change his opinions or ways. He's stubborn / wayward.	energetically willful and determined.	1) a headstrong businessman	willful, wayward, stubborn, obstinate, froward, incontrollable, intractable, recalcitrant, refractory, uncontrollable, ungovernable, unmanageable,
convalescent	From Latin con (altogether) + valere (grow strong, be well). You convey less sickening scent. It's a sign you're recovering.	(of a person) recovering from an illness or medical treatment.	You're still convalescent and you need to rest.	improving, nursling, sufferer, victim, rehabilitant, inpatient, outpatient, case, patient,
nonplussed	"""No more tests!"" the student already felt confused and bewildered after the previous test."	so surprised and confused that one is unsure how to react.	1) She was nonplussed, but quickly collected herself, explained that the plumbing had been acting up for days, and told them to pay it no mind.   2) Cedric looked nonplussed. He looked from Bagman to Harry and back again as though sure he must have misheard what Bagman had said.	baffled, bewildered, fuddled, stupefied, confounded, hard put, hard-pressed, perplexed,
fret		1. be constantly or visibly anxious. 2. gradually wear away (something) by rubbing or gnawing. 3. flow or move in small waves.	she fretted about the cost of groceriesthe bay's black waves fret the seafront.	agonize, anguish, whine, torment, panic, corrode, eat, erode, gnaw, nibble,
decry	They cry down, publicly denouncing the racism in South Africa	publicly denounce.	1) the king may at any time decry … any coin of the kingdom	denounce, condemn, censure, lambast, bad-mouth, belittle, cry down, denigrate, deprecate, depreciate, derogate, diminish,
recourse	Redoing the course is the only option we have to graduate. Our last resort.	a source of help in a difficult situation (especially legal contexts)	Surgery may be the only recourse.They settled the matter without recourse to law	option, possibility, resort, hope, remedy, expedient, resort, resource,
commence		begin.	1) commence proceedings	begin, embark (on or upon), enter (into or upon), fall (to), get off, kick off, launch, lead off,
neutralize		make (something) ineffective by applying an opposite force or effect.	1) The soldiers tried to neutralize the attack by dividing the invading army.	annul, cancel (out), offset, nullify, invalidate, compensate (for), correct, counteract, counterbalance, counterpoise, make up (for),
exorcise		1. completely remove (something unpleasant) from one's mind or memory. 2. rid (a person or place) of a supposed evil spirit.	1) The movie is about a priest who tries to exorcise demons from a young girl.	expel, rid, purify, cashier, cast (off), chuck, deep-six, discard, ditch, dump, eighty-six,
finicky / finical	The fine picker demands exact arrangements for her particular tea set, or else she gets fussy.	(of a person) fussy about their needs or requirements. showing or requiring great attention to detail.	1) a finicky eater   2) My teacher is finicky about spelling.	fastidious, punctilious, fussy, exacting, demanding, picky, choosy, dainty, delicate, demanding, exacting, finical, finicking,
assail	Assailants are strongly criticized	make a concerted or violent attack on.criticize strongly	The military has for years been developing offensive capabilities, giving it the power not just to defend the US but to assail its foes. He assailed a group of editors for their alleged excesses.	abuse, attack, assault, pillory, chastice, bash, belabor, blast, castigate, excoriate, jump (on),
contravene	From Latin contra (against) + venire (go). By going against the school rules, they're risking offending the Honor of Code and getting kicked out.	offend against the prohibition or order of (a law, treaty, or code of conduct).conflict with (a right, principle, etc.), especially to its detriment.	certain members of his administration had contravened the law.the Privy Council held that the prosecution contravened the rights of the individual.	break, breach, fail to comply with, fail to observe, violate, infringe, offend against, transgress against conflict with, clash with, be at odds with, be at variance with, be in opposition to,
reiterate		say something again or a number of times, typically for emphasis or clarity.	1) reiterate a claim/view/point   2) She avoided answering our questions directly, instead reiterating that the answers could be found in her book.   3) Allow me to reiterate: if I am elected, I will not raise taxes.	duplicate, redo, rehearse, reduplicate, remake, renew, repeat, replicate, reprise,
poignant	When you're pregnant, you feel bittersweet, sad for your pains and happy for your baby.	evoking a keenly felt sense of emotion, especially of bittersweet sadness or regret	The father of the murder victim bade a poignant farewell to his son.	affecting, emotional, pitiful, mournful, impactful, impressive, moving, stirring, touching,
inundate		1. overwhelm (someone) with things or people to be dealt with. 2. flood.	1) was inundated with phone calls	swamp, drench, deluge, drown, engulf, flood, gulf, overflow, overwhelm, submerge,
oblivious	It's obvious you like to live with us but you are clearly not aware of your surroundings	not aware of or concerned about what is happening around one.	She became absorbed in the book, oblivious to the passage of time	heedless, impervious, clueless, ignorant, incognizant, innocent, insensible, nescient, unacquainted, unaware,
ironclad	clad=clothed. One who is clothed in iron cannot be weakned	impossible to contradict, weaken, or change.	The company has an ironclad policy against revealing secrets to competitors. He has an ironclad alibi	hard, mighty, powerful, tough, unyielding, firm, forceful, hearty,
plaintive	plaint (lamentation, complaint) + ive. The complaint about the festive occasion changed everyone's mood to mournful and lamenting.	sounding sad and mournful.	1) a plaintive sigh	mournful, pathetic, aching, agonized, anguished, bemoaning, bewailing, bitter, deploring, doleful,
surmount	To surpass a mountain you have to overcome a lot of difficulties	1. overcome (a difficulty or obstacle). 2. stand or be placed on top of.	His reputation is worldwide, and surmounts language barriers.	overcome, conquer, vanquish, endure, beat, best, conquer, defeat, dispatch, do down, get, get around,
escalate		increase rapidly./make or become more intense or serious.	1) a little war threatens to escalate into a huge ugly one	soar, intensify, accelerate, accumulate, appreciate, balloon, boom, build up, burgeon, climb,
denounce		publicly declare to be wrong or evil./inform against.	1) they denounced him as a bigot   2) Others might cry or get bent out of shape when their personal tastes are denounced and ridiculed, but not him …	anathematize, censure, condemn, castigate, besmirch, damn, decry, execrate, reprehend, reprobate,
foil	Netherlands made fouls to spoil Spain's plan	(v) prevent (something considered wrong or undesirable) from succeeding.(n) metal hammered or rolled into a thin flexible sheet, used chiefly for covering or wrapping food	A brave policewoman foiled the armed robbery. Aluminium foil	thwart, frustrate, counter, oppose, balk, disappoint, impede, obstruct, hamper, hinder, snooker, cripple, scotch, derail, smash, dash
deviate		depart from usual or accepted standards.		aberrant, diverge, digress, contravene, abnormal, anomalous, atypical, deviant, devious, irregular,
buoyant	It's the first time the boys board the yacht (which floats), so they are cheerful.	1. able or tending to keep afloat or rise to the top of a liquid or gas. 2. cheerful and optimistic. 3. (of an economy, business, or market) involving or engaged in much successful trade or activity.	Buoyant balloonsthe conference ended with the party in a buoyant mood.Car sales were buoyant.	cheerful, carefree, merry, blithe, ebullient, bright, canty, cheery, chipper, eupeptic,
benevolent		well meaning and kindly./(of an organization) serving a charitable rather than a profit-making purpose.	1) a benevolent donor	beneficent, benignant, compassionate, good-hearted, humane, kind, kindhearted, kindly,
intertwined		twist or twine together./connect or link (two or more things) closely.		entwine, convolute, interlace, twirl, interlaced, intermixed, interwoven, coalescent, fused, integrated, cut-and-paste, blended,
berate	If you only receive B-rating, you will be scolded	scold or criticize (someone) angrily.	1) being berated by her parents when she came home late	rebuke, reprimand, reproach, baste, bawl out, call down, castigate, chastise, chew out, dress down, flay,
quiescent	Think about “quiet state” = dormant	in a state or period of inactivity or dormancy.	1) a quiescent state	dull, inactive, inert, latent, passive, lethargic, sleepy, sluggish, torpid,
mercurial	The mercury in the thermometer can be volatile.	1. subject to sudden or unpredictable changes of mood or mind. 2. of or containing the element mercury.	mercurial twists of temperament	volatile, capricious, temperamental, excitable, fickle, changeable, unpredictable, variable, protean, mutable, erratic, quicksilver
despotic	Desperate rulers often flaunt their absolute power, acting tyranical	of or typical of a despot (absolute ruler); tyrannical.	1) a despotic government	autocratic, dictatorial, totalitarian, authoritarian, absolute, absolutist, arbitrary, unconstitutional, undemocratic, antidemocratic, uncontrolled
perpetrate	perpetrator. The food per pet rate is now so high, I couldn't afford without committing crime!	carry out or commit (a harmful, illegal, or immoral action).	The men were planning to perpetrate a robbery. The attack was perpetrated by a street gang. He vowed revenge for the crime perpetrated on his family.	execute, accomplish, achieve, bring off, carry off, carry out, commit, compass, do,
subsume	sub + sum: They can be sum (put together) under/below the same label.	include or absorb (something) in something else.	"red, green, and yellow are subsumed under the term ""color"" this creature can be subsumed in the class of reptiles"	carry, comprehend, contain, embrace, encompass, entail, include, involve,
subside	sub + side = below + settle. The water goes below the normal level and becomes less intense.	1. become less intense, violent, or severe. 2. (of water) go down to a lower or the normal level.	1) The pain/swelling will subside in a couple of hours.   2) After his anger had subsided, he was able to look at things rationally.   3) We'll have to wait until the wind/storm/rain subsides.	abate, relent, alleviate, recede, de-escalate, decline, decrease, die (away or down or out), diminish, drain (away), drop (off),
condone	Condo owners tolerate their neighbors' noisy parties, disregarding the disturbances to keep peace.	accept and allow (behavior that is considered morally wrong or offensive) to continueprove or sanction (something), especially with reluctance	The college cannot condone any behavior that involves illicit drugs. the practice is not officially condoned by any airline.	deliberately ignore, disregard, accept, allow, turn a blind eye to, overlook, connive at
tangential		diverging from a previous course or line; erratic.hardly touching a matter; peripheral or off-topicrelating to or along a tangent.	1) tangential involvement	incidental, peripheral, tangent, extraneous, immaterial, impertinent, inapplicable, inapposite,
jeopardize		put (someone or something) into a situation in which there is a danger of loss, harm, or failure.	1) a decision that could jeopardize her career   2) laws jeopardizing freedom of speech	imperil, risk, damage, adventure, compromise, endanger, gamble (with), hazard, jeopard, menace,
disinterested		1. not influenced by considerations of personal advantage. 2. having or feeling no interest in something; uninterested.	1) telling them in a disinterested voice   2) disinterested in women	apathetic, casual, complacent, incurious, indifferent, insensible, insouciant, nonchalant, unbiased, neutral, impartial, detached, objective, equitable, selfless
buttress	"Sounds like ""put stress."" We put stress on the builders to reinforce the cathedral"	1. provide (a building or structure) with buttresses. 2. increase the strength of or justification for; reinforce.	We buttressed the wall as it was showing signs of cracking and collapse.Authority was buttressed by religious belief.	prop, support, reinforce, strengthen, reinforce, fortify, support, prop up, bolster up, shore up, underpin, cement, brace, uphold, confirm, defend, maintain, back up, buoy up.
bereft	related to 'bereave'	deprived of or lacking (something).(of a person) sad and lonely, especially through someone's death or departure; bereaved	The peasantry were bereft of any opportunity for social mobility.his death in 1990 left her bereft.	bereaved, lacking, wanting, short of
frailty	noun of 'frail'	the condition of being weak and delicateweakness in character or morals.	The frailty of her health you're too self-righteous to see your own frailties.	fragile, impair, delicate, blemish, demerit, dereliction, failing, fault, foible, shortcoming, sin, vice,
disentangle		free (something or someone) from something that they are entangled with.	1) I can't disentangle [=untangle] the wires/hangers.	untwine, liberate, unknoit, untangle, ravel (out), unbraid, unlay, unravel, unsnarl, untwist,
pomposity	noun of 'pompous'	the quality of being pompous; self-importance.	He hated pomposity and disliked being called a genius.She found it difficult to talk about her achievements without sounding pompous.	bragging, arrogance, assumption, bumptiousness, consequence, haughtiness, hauteur, high horse, huffiness,
delineate	de (out) + line + ate. Describe and outline what you ate for the exact diagnosis	1. describe or portray (something) precisely. 2. indicate the exact position of (a border or boundary).	1) delineate a character in the story   2) delineate the steps to be taken by the government	describe, outline, depict, portray, define, silhouette, sketch, trace,
conclusive		of evidence or argument) having or likely to have the effect of proving a case; decisive.	1) conclusive evidence/proof	irrefutable, indisputable, certain, convincing, definitive, absolute, clear, deciding, decisive, last,
vitality		the state of being strong and active; energy.	1) the vitality of youth   2) A shopping district would bring new vitality [=life] to the downtown area.   3) Her prose is full of vitality.   4) His performance lacked vitality.	liveliness, vivacity, buoyancy, zest, animation, briskness, exuberance, jazziness, lustiness, peppiness, robustness,
steadfast		resolutely or dutifully firm and unwavering.	1) They were steadfast friends.   2) He was steadfast in his support of the governor's policies.   3) a steadfast refusal	faithful, committed, devoted, reliable, steady, constant, dedicated, devout, down-the-line, faithful, fast, good,
archetype		1. a very typical example of a certain person or thing. 2. an original which has been imitated; a prototype.	1) … the House of Commons, the archetype of all the representative assemblies which now meet …	type, prototype, stereotype, pattern, model, embodiment, quintessense, paradigm
relent	"Looks like ""rebent"" (bend back = give in)"	abandon or mitigate a severe or harsh attitude, especially by finally yielding to a request./become less severe.	1) Our application was initially refused, but the city relented in the end and the permit was issued.   2) They had refused to pay and relented only after being threatened with a lawsuit.	give in, yield, accede, acquiesce, ease up, abate, blink, bow, budge, capitulate, concede, give in, knuckle under, quit,
grievance	grief + ance. The managers express grief over the complaint about the injustice inside the factory	a real or imagined cause for complaint, especially unfair treatmentan official statement of a complaint over something believed to be wrong or unfair	Civil disorder could be the result of a real or imagined grievance.Her chief grievance was the sexual harassment by her boss.	complaint, objection, protest, quibble, atrocity, rancour, down, grudge, resentment, score,
harangue	Her anger was so intense that she made a rant about the issue, lecturing everyone	a lengthy and aggressive speech.lecture (someone) at length in an aggressive and critical manner	Without valid entry visas, they were subjected to a ten-minute harangue by two border guards.	diatribe, polemic, rant, berating, censure, castigate, jeremiad, philippic, tirade,
auspicious		conducive to success; favorable.giving or being a sign of future success.	It was not the most auspicious moment to hold an election.Such an auspicious start might have brought only honor and further triumph, but a witches' brew of scientific contentiousness, the temper of the times, and quirks in Dubois's own psyche soon derailed any pleasant development and turned Dubois's bounty into bitterness.	favourable, propitious, hopeful, optimistic, felicitous, bright, encouraging, fair, golden, heartening, hopeful, likely
yield		1. produce or provide (a natural, agricultural, or industrial product). 2.give way to arguments, demands, or pressure. 3. (of a mass or structure) give way under force or pressure.		produce, return, relent, relinquish, surrender, cede, bow, cave (in), give in, submit, succumb, surrender,
appropriate		adj - suitable or proper in the circumstances.v - take (something) for one's own use, typically without the owner's permission.v - devote (money or assets) to a special purpose	a measure appropriate to a wartime economy.his images have been appropriated by advertisers. there can be problems in appropriating funds for legal expenses	applicable, relevant, pertinent, germane, apt, becoming, befitting, felicitous, fit, fitted, fitting,
rhetoric		the art of effective or persuasive speaking or writing, especially the exploitation of figures of speech and other compositional techniques.		bombast, pomposity, hyperbole, fustian, gas, grandiloquence, hot air, oratory, verbiage, wind,
conspire	verb for conspiracy	1. make secret plans jointly to commit an unlawful or harmful act. 2. (of events or circumstances) seem to be working together to bring about a particular negative result.	all six admitted conspiring to steal carscircumstances have conspired to make an immediate share issue an unattractive option	plot, scheme, plan, intrigue, collude, connive, collaborate, consort, machinate, maneuveract together, work together, combine, join, unite, ally, join forces, cooperate
whimsical		playfully quaint or fanciful, especially in an appealing and amusing way.acting or behaving in a capricious manner.	She has a whimsical sense of humor. the whimsical arbitrariness of autocracy.	capricious, freakish, impulsive, quaint, volatile, temperamental
proxy		1. the authority to represent someone else, especially in voting. 2. a figure that can be used to represent the value of something in a calculation.	1) Since I wouldn't be available to vote, I nominated him to act as my proxy.	substitute, delegate, agent, surrogate, assignee, attorney, commissary, delegate, deputy, envoy, factor,
sparse		thinly dispersed or scattered./scanty; in short supply.	1) Reliable data is sparse.	scant, scarce, sporadic, meagre, exiguous, hand-to-mouth, light, meager, niggardly, poor, scant, scanty,
adverse		preventing success or development; harmful; unfavourable.	1) hindered by adverse winds	unfavourable, dreadful, nasty, counter, disadvantageous, hostile, inimical, negative, prejudicial, unfavorable, unfriendly,
exhort	She encourages the whole cohort to purschase the yearbook	strongly encourage or urge (someone) to do something.	1) exhorting voters to do the right thing	urge, adjure, pressurize, egg (on), encourage, goad, nudge, press, prod, prompt, urge,
poise	Sounds like point. The dancer poised on her toes, perfectly balanced at the highest point of her routine, displaying composure.	1. graceful and elegant bearing in a person. 2. be or cause to be balanced or suspended./be ready and prepared to do something.	poise and good deportment can be cultivated.In spite of this setback she retained her poise.	balance, counterpoise, equilibrium, control, equipoise, stasis,
adept		very skilled or proficient at something.		expert, proficient, talented, accomplished, ace, compleat, complete, consummate, crack, crackerjack, educated,
tedious		too long, slow, or dull; tiresome or monotonous.	1) a tedious public ceremony	arid, boring, monotonous, mundane, wearisome, colorless, drab, dreary, drudging, dry, dull,
rigor		1. the quality of being extremely thorough and careful.  2. severity or strictness.  3. harsh and demanding conditions.		diligence, meticulous, exacting, severe, rigid, adversity, asperity, difficulty, hardness, hardship,
articulate		having or showing the ability to speak fluently and coherently.		eloquent, fluent, persuasive, coherent, cogent, silver-tongued, well-spoken,
suspect		1. have an idea or impression of the existence, presence, or truth of (something) without certain proof.  2. doubt the genuineness or truth of.		reckon, accused, arrestee, defendant, detainee, fish, criminal, crook, culprit,
ploy	A cunning plot to earn advantage	a cunning plan or action designed to turn a situation to one's own advantage.	Her story about being sick is only a ploy to get you to give her money.	ruse, tactic, artifice, device, dodge, fetch, flimflam, gambit, gimmick, jig,
captious	"Sounds like ""captain."" The captain was always critical, constantly finding fault with the crew’s work."	tending to find fault or raise petty objections	The captious critic never seemed satisfied, always finding something wrong with every performance.	quibbling, fault-finding, critical
lugubrious	A loopy, gloomy bride looks mournful during her wedding with a man she doesn't love	looking or sounding sad and dismal.	We wonder why he's wearing a lugubrious expression. He's usually very cheerful. The play was good, but I fell asleep during the hero’s lugubrious monologue.	mournful, gloomy, glum, melancholy, black, bleak, cheerless, chill, Cimmerian, cloudy, cold, comfortless,
transcend		be or go beyond the range or limits of (a field of activity or conceptual sphere).surpass (a person or achievement):	music that transcends cultural boundaries She was able to transcend her own suffering and help others.	surpass, excel, outstrip, beat, better, eclipse, exceed, excel, outclass, outdistance, outdo,
flustered		make (someone) agitated or confused.	"1) She became so flustered that she'd … kept repeating, ""Gosh, I can't even think …"" Later she confided, ""I was almost in tears right after doing those numbers.""   2) The flustered lady gave me a blank stare and said, ""That's not Mr. Franklin. The guard said Mr. Franklin was on his way up.""   3) … the oxen … seemed more patient and less flustered than their masters …"	aggravated, agitated, bothered, chagrined, dismayed, disquieted, distressed, disturbed,
incidental	This incident is minor compared to other accidents. It also happens by chance.	happening as a minor accompaniment to something else.occurring by chance in connection with something else.happening as a result of (an activity).	For the fieldworker who deals with real problems, paperwork is incidental The implications of this incidental discovery. the risks necessarily incidental to a fireman's job.	secondary, subsidiary, subordinate, ancillary, auxiliary, minor, peripheral, trivial chance, accidental, random, casual, fortuitous, serendipitous, adventitious, coincidental connected with, related to, associated with,
axiomatic	axiom = general truth	self-evident or unquestionable.	1) an axiomatic truth	self-evident, unquestionable, prima facie, granted, accepted
macabre	A mascara artist creates dark looks, adding a gruesome touch to the performance.	disturbing because concerned with or causing a fear of death.	The macabre dance included a procession of skeletons.	grisly, gruesome, morbid, appalling, atrocious, horrifying, awful, dreadful, frightful, ghastly,
gullible		easily persuaded to believe something; credulous.	1) selling overpriced souvenirs to gullible tourists	credulous, impressionable, exploitable, naive, susceptible, ingenuous, trusting, unwary, wide-eyed,
ingrained		1.(of a habit, belief, or attitude) firmly fixed or established; difficult to change.  2. (of dirt or a stain) deeply embedded and thus difficult to remove.	1) ingrained prejudice	entrenched, abiding, inveterate, built-in, constitutional, constitutive, essential, hardwired, immanent, inborn, inbred,
tacit	He’s a taciturn man but his wife understand his implied words and gestures	understood or implied without being stated.	1) the blush was a tacit answer	implicit, implied, unexpressed, unstated, unspoken, unvoiced, wordless,
exorbitant		(of a price or amount charged) unreasonably high.	1) exorbitant fees/costs/prices/expenses   2) They were charged exorbitant rates for phone calls.	baroque, devilish, excessive, extravagant, extreme, fancy, immoderate, inordinate,
serene		calm, peaceful, and untroubled; tranquil.		tranquil, placid, soothing, arcadian, calm, hushed, peaceful, placid, quiet, restful, still,
treatise		a written work dealing formally and systematically with a subject.	1) a treatise on higher education	discourse, dissertation, thesis, monograph, tract, article, composition, essay, paper, theme, discourse,
corporeal		relating to a person's body, especially as opposed to their spirit.		animal, bodily, carnal, physical, corporal, fleshly, material, somatic,
figurative		1. departing from a literal use of words; metaphorical. 2. (of an artist or work of art) representing forms that are recognizably derived from life.	1) the figurative dove of peace	metaphorical, symbolic, poetic, ornate, extended, figural, metaphoric, tropical, tropological,
morose	Giving her more rose wouldn't cheer her up. She's still sullen and unhappy	sullen and ill-tempered.	He became morose and withdrawn and would not talk to anyone.	sullen, sulky, gloomy, moody, black, bleak, cheerless, chill, Cimmerian, cloudy, cold, comfortless,
fickle	A flicker of light is inconsistent and unpredictable.	changing frequently, especially as regards one's loyalties or affections.	fickle weatherWeb patrons are a notoriously fickle lot, bouncing from one site to another on a whim	capricious, changeable, mercurial, volatile, vacillating, fitful, flickery, fluctuating, fluid, inconsistent, inconstant,
ramification		a complex or unwelcome consequence of an action or event.	Any change in the contract is bound to have legal ramifications.	consequence, aftermath, outcome, sequel, implication
eclectic	From ek (out) + legere (choose, as in “select”, “elect”). It’s difficult to select my favorite candy from this diverse mix of colorful candies.	deriving ideas, style, or taste from a broad and diverse range of sources.	Her musical tastes are eclectic. The university offers an eclectic combination of electives.	broad, extensive, comprehensive, encyclopedic, diverse, assorted, heterogeneous, indiscriminate, kitchen-sink, magpie, miscellaneous, mixed, motley,
apprehension		1. anxiety or fear that something bad or unpleasant will happen. 2. understanding; grasp. 3. the action of arresting someone.	1) an atmosphere of nervous apprehension	anxiety, alarm, uneasiness, restlessness, apprehensiveness, dread, foreboding, misgiving,
idiosyncratic		relating to idiosyncrasy; peculiar or individual.		distinctive, peculiar, aberrant, eccentric, anomalous, special, identifying, characteristic, intimate, especial, express, special, specific,
insolent		showing a rude and arrogant lack of respect.	1) an insolent [=impudent, disrespectful] child   2) Insolent behavior will not be tolerated.	impertinent, impudent, audacious, bold, bold-faced, brash, brassbound, brassy, brazen,
ardent	From Latin ardere (to burn). The burning passion in his heart makes him an ardent football fan.	very enthusiastic or passionate.	1) ardent proponents of the bill   2) an ardent admirer   3) ardent fans	passionate, avid, fervent, zealous, vehement, blazing, burning, charged, demonstrative, emotional, fervent, fervid, feverish,
doctrinaire		seeking to impose a doctrine in all circumstances without regard to practical considerations.		dogmatic, opinionated, rigid, unyielding, adamant, pontifical, authoritarian, self-opinionated,
officious	That high-ranking official is so meddlesome in their subordinates' lives.	assertive of authority in a domineering way, especially with regard to trivial matters.	1) officious people who are always ready to offer unasked advice	meddlesome, dictatorial, interfering, intruding, nosy, obtrusive, bossy, domineering
cease		come or bring to an end.		close, halt, conclude, terminate, abate, dead-end, determine, die, discontinue,
